Target Value of 0 = negative
Target Value of 1 = positive
Target Value of u = unclassified (Advanced Classification Mode)

Ch1Amplitude,Ch2Amplitude,Ch3Amplitude,Ch4Amplitude,Ch5Amplitude,Ch6Amplitude,Bd,IPC,
366.0432,2672.313,-31.78741,15.96477,255.3984,61.74738,0,0,
329.5496,2548.157,3.395859,35.2319,214.841,-18.00381,0,0,
409.1549,2640.818,12.83808,-42.56426,193.2659,47.51426,0,0,
360.9904,2600.323,-0.2889356,-24.20073,282.2298,3.191869,0,0,
382.8349,2621.701,-36.24121,-15.95746,248.9832,4.922654,0,0,
401.9519,2627.178,-14.00793,13.13986,251.7673,-4.72267,0,0,
301.7353,2662.272,-21.05815,10.14982,219.7058,43.86326,0,0,
252.9628,2678.587,-1.769318,-10.81058,245.776,71.76814,0,0,
337.5693,2834.224,-9.766133,-62.6777,206.7213,71.12101,0,0,
336.5645,2732.664,-24.55087,40.81811,225.4056,54.12194,0,0,
360.9348,2643.914,0.5175126,-14.41201,265.9314,10.77449,0,0,
278.3632,2783.256,-27.35004,-32.81752,200.6203,85.51697,0,0,
375.9078,2735.808,19.00195,55.11014,222.4984,38.57943,0,0,
270.4358,2706.207,8.721652,29.62097,232.9643,38.31614,0,0,
309.4091,2744.022,5.658879,-29.82692,236.0664,15.69075,0,0,
318.2615,2673.829,12.12951,-6.020684,185.4686,63.80536,0,0,
239.3033,2363.403,12.00302,-3.29529,218.5963,3.673289,0,0,
327.6282,2699.144,-55.10912,-54.89554,239.2452,75.32504,0,0,
258.8745,2763.208,-2.813465,-49.7935,139.4503,103.6193,0,0,
345.4007,2597.699,-24.91162,-7.021521,219.991,65.02024,0,0,
314.7188,2699.744,-9.30308,-67.80196,197.6876,62.49114,0,0,
396.3004,2640.283,13.81051,45.34844,236.4978,32.80762,0,0,
306.109,2728.618,25.21436,-14.206,240.2902,-7.137435,0,0,
278.9709,2589.261,-22.31627,20.16099,195.8947,96.26788,0,0,
319.8664,2616.073,5.823747,-22.16267,227.4686,71.60374,0,0,
344.4404,2544.956,28.10552,0.9114512,214.9977,80.51025,0,0,
249.7449,2725.852,-8.609689,25.63422,179.5636,86.40555,0,0,
307.0936,2689.415,-18.38457,66.1753,214.5034,30.84993,0,0,
413.1004,2561.893,-27.01036,-27.28788,198.6956,54.28675,0,0,
373.7152,2639.666,-33.40767,-32.66614,181.6587,93.63162,0,0,
370.7488,2666.73,11.26179,-29.77795,210.7043,33.91542,0,0,
344.0073,2581.072,-28.34332,-34.45533,213.8234,84.73619,0,0,
264.559,2638.022,-15.74829,5.600588,212.7113,40.56983,0,0,
437.0987,2552.442,-25.73594,48.96206,256.142,-5.40002,0,0,
329.7781,2716.021,-32.2394,-12.82142,235.932,47.60276,0,0,
